"[-2, 41, -46, 11, 72, 15, 34]"
"[1, 41, -46, 13, 72, 8, 34]"
"[3, 41, -46, 14, 72, 4, 34]"
"[5, 41, -46, 15, 72, 1, 34]"
"[6, 41, -46, 16, 72, -2, 34]"
"[6, 41, -46, 18, 72, -4, 34]"
"[6, 41, -46, 22, 72, -5, 34]"
"[6, 41, -46, 24, 72, -5, 34]"
"[6, 41, -46, 24, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 23, 72, -5, 34]"
"[6, 41, -46, 31, 72, -12, 34]"
"[10, 41, -46, 36, 72, -15, 34]"
"[18, 41, -46, 35, 72, -15, 34]"
"[26, 41, -46, 34, 72, -15, 34]"
"[34, 41, -46, 33, 71, -15, 34]"
"[44, 41, -46, 28, 71, -15, 34]"
"[55, 41, -46, 22, 71, -15, 34]"
"[66, 41, -46, 17, 70, -15, 34]"
"[76, 41, -46, 13, 69, -10, 34]"
"[83, 42, -46, 11, 68, -6, 34]"
"[86, 46, -46, 9, 65, -6, 34]"
"[86, 49, -46, 8, 62, -6, 34]"
"[86, 50, -46, 9, 57, -6, 34]"
"[86, 51, -46, 10, 55, -6, 34]"
"[86, 51, -46, 10, 55, -4, 34]"
"[86, 51, -46, 11, 56, -3, 34]"
"[86, 51, -46, 11, 57, -3, 34]"
"[86, 51, -46, 11, 54, -4, 34]"
"[86, 51, -46, 10, 53, -4, 34]"
"[86, 53, -46, 10, 53, -4, 34]"
"[86, 58, -46, 11, 53, -6, 34]"
"[86, 65, -49, 13, 54, -6, 34]"
"[86, 70, -53, 13, 54, -8, 34]"
"[86, 75, -58, 12, 54, -9, 34]"
"[86, 80, -63, 11, 54, -9, 34]"
"[86, 85, -69, 11, 56, -10, 34]"
"[86, 91, -74, 11, 57, -12, 34]"
"[86, 96, -79, 11, 57, -14, 34]"
"[86, 100, -84, 10, 57, -15, 34]"
"[86, 104, -88, 9, 57, -15, 34]"
"[86, 107, -92, 8, 57, -16, 34]"
"[86, 110, -95, 7, 57, -16, 34]"
"[86, 112, -97, 6, 57, -16, 34]"
"[86, 113, -99, 5, 58, -16, 34]"
"[86, 113, -100, 5, 57, -15, 34]"
"[86, 113, -100, 5, 57, -15, 34]"
"[86, 113, -100, 5, 56, -15, 34]"
"[86, 113, -100, 5, 56, -15, 34]"
"[86, 114, -100, 5, 55, -15, 34]"
"[86, 114, -100, 6, 55, -15, 34]"
"[86, 114, -100, 6, 55, -15, 34]"
"[86, 114, -101, 6, 56, -15, 34]"
"[86, 114, -101, 6, 57, -15, 34]"
"[86, 114, -101, 5, 55, -15, 34]"
"[86, 114, -101, 5, 56, -15, 34]"
"[86, 114, -101, 5, 57, -15, 34]"
"[86, 114, -101, 5, 56, -15, 34]"
"[86, 114, -101, 5, 57, -15, 34]"
"[86, 114, -101, 5, 57, -15, 34]"
"[86, 114, -101, 5, 57, -15, 34]"
"[86, 114, -101, 5, 58, -14, 34]"
"[86, 114, -101, 5, 60, -13, 34]"
"[86, 114, -101, 4, 59, -11, 34]"
"[86, 114, -101, 4, 59, -11, 34]"
"[86, 114, -101, 4, 60, -10, 34]"
"[86, 114, -101, 4, 60, -10, 34]"
"[86, 114, -101, 3, 59, -10, 34]"
"[86, 114, -101, 3, 58, -10, 34]"
"[86, 114, -101, 3, 56, -10, 34]"
"[86, 114, -101, 3, 56, -10, 34]"
"[86, 114, -101, 3, 56, -10, 34]"
"[86, 114, -101, 3, 55, -10, 34]"
"[86, 116, -101, 4, 55, -11, 34]"
"[86, 117, -101, 5, 55, -12, 34]"
"[86, 116, -101, 5, 55, -12, 34]"
"[86, 115, -101, 4, 55, -12, 34]"
"[86, 115, -101, 3, 56, -12, 34]"
"[86, 115, -101, 3, 56, -12, 34]"
"[86, 115, -101, 3, 56, -12, 34]"
"[86, 115, -101, 3, 56, -11, 34]"
"[86, 115, -101, 3, 55, -11, 34]"
"[86, 115, -101, 3, 55, -11, 34]"
"[86, 115, -101, 3, 55, -11, 34]"
"[86, 115, -101, 3, 55, -11, 34]"
"[86, 115, -101, 3, 55, -11, 34]"
"[86, 115, -101, 3, 54, -11, 34]"
"[86, 115, -101, 3, 54, -11, 34]"
"[86, 115, -101, 3, 54, -11, 34]"
"[86, 115, -101, 3, 54, -11, 34]"
"[86, 115, -101, 3, 54, -10, 34]"
"[86, 115, -101, 3, 54, -10, 34]"
"[86, 115, -101, 3, 53, -10, 34]"
"[86, 115, -101, 3, 53, -10, 34]"
"[86, 115, -101, 3, 53, -10, 34]"
