"[-62, -2, 2, -3, 19, -9, -2]"
"[-72, -2, 2, -3, 19, -9, -2]"
"[-82, -2, 2, -3, 19, -9, -2]"
"[-90, -2, 2, -3, 19, -9, -2]"
"[-98, -2, 2, -3, 19, -9, -2]"
"[-102, -2, 2, -3, 19, -9, -2]"
"[-102, -2, 2, -3, 19, -9, -2]"
"[-102, -2, 2, -3, 19, -9, -2]"
"[-102, -2, 2, -3, 19, -9, -2]"
"[-102, -2, 2, -3, 19, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
"[-102, -1, 2, -3, 21, -9, -2]"
