Time (s), X (mm), Y (mm), Z (mm), RX (°), RY (°), RZ (°), J1 (°), J2 (°), J3 (°), J4 (°), J5 (°), J6 (°), Gripper Angle (mm), Gripper Effort
0.000, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.075
0.285, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.048
0.538, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.054
0.813, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.048
1.069, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.046
1.309, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.047
1.560, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.060
1.825, 55.673, 1.927, 184.361, 145.531, 73.837, 146.428, 1.982, 1.073, 0.166, 0.000, 17.026, 9.314, -0.900, 0.043
2.110, 55.673, 1.927, 184.361, 144.272, 73.579, 145.116, 1.982, 1.073, 0.166, 0.000, 17.026, 9.764, -0.900, 0.043
2.377, 55.673, 1.927, 184.361, 143.208, 73.347, 144.007, 1.982, 1.073, 0.166, 0.000, 17.026, 10.155, -0.900, 0.051
2.612, 55.673, 1.927, 184.361, 143.208, 73.347, 144.007, 1.982, 1.073, 0.166, 0.000, 17.026, 10.155, -0.900, 0.058
2.852, 55.673, 1.927, 184.361, 143.208, 73.347, 144.007, 1.982, 1.073, 0.166, 0.000, 17.026, 10.155, -0.900, 0.047
3.095, 55.673, 1.927, 184.361, 143.208, 73.347, 144.007, 1.982, 1.073, 0.166, 0.000, 17.026, 10.155, -0.900, 0.044
3.398, 55.673, 1.927, 184.361, 143.044, 73.310, 143.835, 1.982, 1.073, 0.166, 0.000, 17.026, 10.217, -0.900, 0.053
3.721, 55.673, 1.927, 184.361, 143.044, 73.310, 143.835, 1.982, 1.073, 0.166, 0.000, 17.026, 10.217, -0.900, 0.042
4.044, 55.673, 1.927, 184.361, 143.044, 73.310, 143.835, 1.982, 1.073, 0.166, 0.000, 17.026, 10.217, -0.900, 0.049
